epoch,mseTestNetwork1,mseTestNetwork2
569,325.761,455.553,
570,325.757,455.441,
571,325.753,455.329,
572,325.749,455.218,
573,325.745,455.106,
574,325.741,454.995,
575,325.737,454.883,
576,325.733,454.772,
577,325.729,454.661,
578,325.725,454.55,
579,325.722,454.44,
580,325.718,454.329,
581,325.715,454.219,
582,325.711,454.108,
583,325.707,453.998,
584,325.704,453.888,
585,325.7,453.778,
586,325.697,453.668,
587,325.693,453.559,
588,325.69,453.449,
589,325.687,453.34,
590,325.683,453.231,
591,325.68,453.122,
592,325.677,453.013,
593,325.673,452.904,
594,325.67,452.796,
595,325.667,452.687,
596,325.664,452.579,
597,325.661,452.471,
598,325.657,452.363,
599,325.654,452.255,
600,325.651,452.147,
601,325.648,452.039,
602,325.645,451.932,
603,325.642,451.824,
604,325.639,451.717,
605,325.636,451.61,
606,325.633,451.503,
607,325.631,451.396,
608,325.628,451.289,
609,325.625,451.182,
610,325.622,451.076,
611,325.619,450.97,
612,325.617,450.863,
613,325.614,450.757,
614,325.611,450.651,
615,325.609,450.545,
616,325.606,450.44,
617,325.603,450.334,
618,325.601,450.229,
619,325.598,450.123,
620,325.596,450.018,
621,325.593,449.913,
622,325.591,449.808,
623,325.588,449.703,
624,325.586,449.598,
625,325.583,449.494,
626,325.581,449.389,
627,325.578,449.285,
628,325.576,449.181,
629,325.574,449.077,
630,325.571,448.973,
631,325.569,448.869,
632,325.567,448.765,
633,325.565,448.661,
634,325.562,448.558,
635,325.56,448.455,
636,325.558,448.351,
637,325.556,448.248,
638,325.554,448.145,
639,325.551,448.042,
640,325.549,447.939,
641,325.547,447.837,
642,325.545,447.734,
643,325.543,447.632,
644,325.541,447.529,
645,325.539,447.427,
646,325.537,447.325,
647,325.535,447.223,
648,325.533,447.121,
649,325.531,447.019,
650,325.529,446.918,
651,325.527,446.816,
652,325.525,446.715,
653,325.523,446.614,
654,325.521,446.512,
655,325.52,446.411,
656,325.518,446.31,
657,325.516,446.21,
658,325.514,446.109,
659,325.512,446.008,
660,325.51,445.908,
661,325.509,445.807,
662,325.507,445.707,
663,325.505,445.607,
664,325.503,445.507,
665,325.502,445.407,
666,325.5,445.307,
667,325.498,445.207,
668,325.497,445.108,
669,325.495,445.008,
670,325.493,444.909,
671,325.492,444.809,
672,325.49,444.71,
673,325.489,444.611,
674,325.487,444.512,
675,325.485,444.413,
676,325.484,444.315,
677,325.482,444.216,
678,325.481,444.117,
679,325.479,444.019,
680,325.478,443.921,
681,325.476,443.822,
682,325.475,443.724,
683,325.473,443.626,
684,325.472,443.528,
685,325.47,443.43,
686,325.469,443.333,
687,325.467,443.235,
688,325.466,443.138,
689,325.465,443.04,
690,325.463,442.943,
691,325.462,442.846,
692,325.461,442.749,
693,325.459,442.652,
694,325.458,442.555,
695,325.456,442.458,
696,325.455,442.361,
697,325.454,442.265,
698,325.452,442.168,
699,325.451,442.072,
700,325.45,441.976,
701,325.449,441.879,
702,325.447,441.783,
703,325.446,441.687,
704,325.445,441.591,
705,325.444,441.496,
706,325.442,441.4,
707,325.441,441.304,
708,325.44,441.209,
709,325.439,441.114,
710,325.437,441.018,
711,325.436,440.923,
712,325.435,440.828,
713,325.434,440.733,
714,325.433,440.638,
715,325.432,440.543,
716,325.43,440.449,
717,325.429,440.354,
718,325.428,440.259,
719,325.427,440.165,
720,325.426,440.071,
721,325.425,439.977,
722,325.424,439.882,
723,325.423,439.788,
724,325.422,439.694,
725,325.42,439.601,
726,325.419,439.507,
727,325.418,439.413,
728,325.417,439.32,
729,325.416,439.226,
730,325.415,439.133,
731,325.414,439.04,
732,325.413,438.947,
733,325.412,438.853,
734,325.411,438.76,
735,325.41,438.668,
736,325.409,438.575,
737,325.408,438.482,
738,325.407,438.389,
739,325.406,438.297,
740,325.405,438.205,
741,325.404,438.112,
742,325.403,438.02,
743,325.402,437.928,
744,325.401,437.836,
745,325.4,437.744,
746,325.399,437.652,
747,325.398,437.56,
748,325.397,437.468,
749,325.396,437.377,
750,325.395,437.285,
751,325.395,437.194,
752,325.394,437.103,
753,325.393,437.011,
754,325.392,436.92,
755,325.391,436.829,
756,325.39,436.738,
757,325.389,436.647,
758,325.388,436.557,
759,325.387,436.466,
760,325.386,436.375,
761,325.386,436.285,
762,325.385,436.194,
763,325.384,436.104,
764,325.383,436.014,
765,325.382,435.924,
766,325.381,435.834,
767,325.38,435.744,
768,325.38,435.654,
769,325.379,435.564,
770,325.378,435.474,
